table_schema,table_name,ordinal_position,column_name,data_type,is_nullable,column_default
public,trunk_concurrency_allocations,3,trunk_name,text,NO,
public,trunk_concurrency_allocations,4,concurrent_calls,integer,NO,
public,trunk_concurrency_allocations,5,effective_from,date,NO,
public,trunk_concurrency_allocations,6,effective_to,date,YES,
public,trunk_concurrency_allocations,7,notes,text,YES,
public,trunk_concurrency_allocations,8,created_at,timestamp with time zone,NO,now()
public,trunk_concurrency_rates,1,id,bigint,NO,nextval('trunk_concurrency_rates_id_seq'::regclass)
public,trunk_concurrency_rates,2,carrier_name,text,NO,
public,trunk_concurrency_rates,3,trunk_name,text,NO,
public,trunk_concurrency_rates,4,cost_per_channel,numeric,NO,
public,trunk_concurrency_rates,5,currency,text,NO,'AUD'::text
public,trunk_concurrency_rates,6,effective_from,date,NO,
public,trunk_concurrency_rates,7,effective_to,date,YES,
public,trunk_concurrency_rates,8,notes,text,YES,
public,trunk_concurrency_rates,9,created_at,timestamp with time zone,NO,now()
public,trunks,1,trunk_id,text,NO,
public,trunks,2,customer_slug,text,NO,
public,trunks,3,pbx_id,integer,NO,
public,trunks,4,trunk_type,text,NO,
public,trunks,5,status,text,NO,'active'::text
public,trunks,6,concurrency_cap,integer,YES,
public,trunks,7,notes,text,YES,
public,trunks,8,created_ts,timestamp with time zone,NO,now()
public,trunks,9,updated_ts,timestamp with time zone,NO,now()
public,v_admin_pbx_overview,1,pbx_id,integer,YES,
public,v_admin_pbx_overview,2,display_name,text,YES,
public,v_admin_pbx_overview,3,base_url,text,YES,
public,v_admin_pbx_overview,4,enabled,boolean,YES,
public,v_admin_pbx_overview,5,maintenance_mode,boolean,YES,
public,v_admin_pbx_overview,6,maintenance_until,timestamp with time zone,YES,
public,v_admin_pbx_overview,7,maintenance_reason,text,YES,
public,v_admin_pbx_overview,8,is_multi_tenant,boolean,YES,
public,v_admin_pbx_overview,9,last_polled,timestamp with time zone,YES,
public,v_admin_pbx_overview,10,health_label,text,YES,
public,v_billing_calls_classified,1,id,bigint,YES,
public,v_billing_calls_classified,2,customer_slug,text,YES,
public,v_billing_calls_classified,3,customer_name,text,YES,
public,v_billing_calls_classified,4,account_id,text,YES,
public,v_billing_calls_classified,5,direction,text,YES,
public,v_billing_calls_classified,6,call_type,text,YES,
public,v_billing_calls_classified,7,connect_ts,timestamp with time zone,YES,
public,v_billing_calls_classified,8,disconnect_ts,timestamp with time zone,YES,
public,v_billing_calls_classified,9,call_date,date,YES,
public,v_billing_calls_classified,10,call_length_sec,integer,YES,
public,v_billing_calls_classified,11,source_file,text,YES,
public,v_billing_calls_classified,12,source_row,integer,YES,
public,v_billing_calls_classified,13,record_hash,text,YES,
public,v_billing_calls_classified,14,billing_bucket,text,YES,
public,v_billing_calls_classified,15,is_outbound,boolean,YES,
public,v_billing_calls_classified,16,is_inbound,boolean,YES,
public,v_billing_calls_deduped,1,id,bigint,YES,
public,v_billing_calls_deduped,2,customer_slug,text,YES,
public,v_billing_calls_deduped,3,customer_name,text,YES,
public,v_billing_calls_deduped,4,account_id,text,YES,
public,v_billing_calls_deduped,5,direction,text,YES,
public,v_billing_calls_deduped,6,call_type,text,YES,
public,v_billing_calls_deduped,7,connect_ts,timestamp with time zone,YES,
public,v_billing_calls_deduped,8,disconnect_ts,timestamp with time zone,YES,
public,v_billing_calls_deduped,9,call_date,date,YES,
public,v_billing_calls_deduped,10,call_length_sec,integer,YES,
public,v_billing_calls_deduped,11,source_file,text,YES,
public,v_billing_calls_deduped,12,source_row,integer,YES,
public,v_billing_calls_deduped,13,record_hash,text,YES,
public,v_billing_calls_deduped,14,rn,bigint,YES,
public,v_billing_customer_plan_active,1,customer_slug,text,YES,
public,v_billing_customer_plan_active,2,plan_code,text,YES,
public,v_billing_customer_plan_active,3,include_inbound_minutes,boolean,YES,
public,v_billing_customer_plan_active,4,effective_from,date,YES,
public,v_billing_customer_plan_active,5,effective_to,date,YES,
public,v_billing_customer_plan_active,6,included_minutes,integer,YES,
public,v_billing_customer_plan_active,7,monthly_fee_ex_gst,numeric,YES,
public,v_billing_customer_plan_active,8,overage_rate_per_minute,numeric,YES,
public,v_billing_customer_plan_active,9,outbound_1300_rate_per_call,numeric,YES,
public,v_billing_customer_plan_active,10,currency,text,YES,
public,v_billing_monthly_invoice_lines,1,customer_slug,text,YES,
public,v_billing_monthly_invoice_lines,2,billing_month,date,YES,
public,v_billing_monthly_invoice_lines,3,plan_code,text,YES,
public,v_billing_monthly_invoice_lines,4,currency,text,YES,
public,v_billing_monthly_invoice_lines,5,included_minutes,integer,YES,
public,v_billing_monthly_invoice_lines,6,total_minutes_used,bigint,YES,
public,v_billing_monthly_invoice_lines,7,allowance_status,text,YES,
public,v_billing_monthly_invoice_lines,8,overage_minutes,bigint,YES,
public,v_billing_monthly_invoice_lines,9,overage_charge_ex_gst,numeric,YES,
public,v_billing_monthly_invoice_lines,10,outbound_1300_calls,bigint,YES,
public,v_billing_monthly_invoice_lines,11,outbound_1300_charge_ex_gst,numeric,YES,
public,v_billing_monthly_invoice_lines,12,total_charge_ex_gst,numeric,YES,
public,v_billing_monthly_usage,1,customer_slug,text,YES,
public,v_billing_monthly_usage,2,billing_month,date,YES,
public,v_billing_monthly_usage,3,outbound_domestic_seconds,bigint,YES,
public,v_billing_monthly_usage,4,inbound_seconds,bigint,YES,
public,v_billing_monthly_usage,5,outbound_1300_calls,bigint,YES,
public,v_billing_monthly_usage,6,total_eligible_seconds,bigint,YES,
public,v_billing_monthly_usage,7,total_minutes_used,bigint,YES,
public,v_concurrency_calls_canonical,1,id,bigint,YES,
public,v_concurrency_calls_canonical,2,customer_slug,text,YES,
public,v_concurrency_calls_canonical,3,account_id,text,YES,
public,v_concurrency_calls_canonical,4,direction,text,YES,
public,v_concurrency_calls_canonical,5,call_type,text,YES,
public,v_concurrency_calls_canonical,6,connect_ts,timestamp with time zone,YES,
public,v_concurrency_calls_canonical,7,disconnect_ts,timestamp with time zone,YES,
public,v_concurrency_outbound_domestic,1,id,bigint,YES,
public,v_concurrency_outbound_domestic,2,customer_slug,text,YES,
public,v_concurrency_outbound_domestic,3,account_id,text,YES,
public,v_concurrency_outbound_domestic,4,connect_ts,timestamp with time zone,YES,
public,v_concurrency_outbound_domestic,5,disconnect_ts,timestamp with time zone,YES,
public,v_concurrency_outbound_domestic,6,call_length_sec,integer,YES,
public,v_concurrency_outbound_domestic,7,call_type,text,YES,
public,v_manage_cfg_customers,1,customer_slug,text,YES,
public,v_manage_cfg_customers,2,display_name,text,YES,
public,v_manage_cfg_customers,3,status,text,YES,
public,v_manage_cfg_pbx,1,customer_slug,text,YES,
public,v_manage_cfg_pbx,2,customer_name,text,YES,
public,v_manage_cfg_pbx,3,pbx_fqdn,text,YES,
public,v_manage_cfg_pbx,4,enabled,boolean,YES,
